APY	0	0.14853609288238265
APY	50	0.3358152448258455
APY	0	0.2924028268551237
APY	100	0.003	0.07647652700656234
CUB	0	0.0001	0.5611729019211324
CUB	0	0.0	0.5557802494101787
APY	50	0.0	0.4596163553760727
APY	150	0.003	0.09313478041393236
AWA2	0	0.7357512953367875
AWA2	0	0.0001	0.7418172627322128
CUB	50	0.0001	0.5581395348837209
APY	100	0.0	0.443336698637052
APY	200	0.003	0.11181221605249873
CUB	50	0.0	0.5544320862824402
APY	150	0.0	0.42617364967188287
APY	300	0.003	0.059692074709742554
CUB	100	0.0	0.5736434108527132
APY	200	0.0	0.381120646138314
SUN	0	0.0	0.6097222222222223
AWA2	50	0.0001	0.7274105901680779
AWA2	50	0.0	0.7434601289018071
APY	300	0.0	0.31562342251388187
CUB	150	0.0	0.5719582069430401
AWA2	100	0.0001	0.7266523442436497
AWA2	100	0.0	0.7414381397699987
CUB	200	0.0	0.5669025952140209
SUN	50	0.0	0.6076388888888888
CUB	300	0.0	0.5588136164475902
AWA2	150	0.0	0.7404271452040946
AWA2	150	0.0001	0.7226083659800329
SUN	100	0.0	0.6083333333333333
