APY	0	0.0	0.30956587582029277
APY	0	0.0001	0.2889954568399798
APY	0	0.0	0.4358909641595154
APY	0	0.0001	0.42617364967188287
APY	0	0.0001	0.31486622917718327
APY	0	0.0	0.31802120141342755
APY	0	0.0	0.2667844522968198
APY	0	0.0001	0.2342251388187784
APY	0	0.0001	0.32496214033316506
APY	7269	0	0.0001	0.2754921756688541
APY	109	0	0.001	0.3433871781928319
APY	1643	0	0.0	0.4321049974760222
APY	9664	50	0.001	0.38679959616355375
APY	3074	50	0.0	0.502776375567895
APY	9854	50	0.0001	0.45835436648157496
APY	526	100	0.0	0.19156991418475516
APY	5953	100	0.001	0.3773346794548208
APY	6974	100	0.0001	0.4703432609793034
APY	9236	150	0.0	0.3642099949520444
APY	236	150	0.0001	0.42806663301362946
APY	8629	150	0.001	0.40030287733467945
APY	6005	200	0.0	0.43929833417465924
APY	9581	200	0.001	0.3979050984351338
APY	8954	200	0.0001	0.44396769308430084
APY	2934	300	0.0	0.3913427561837456
APY	4872	300	0.001	0.3539878849066128
APY	7316	0	0.0001	0.22476022211004543
APY	7072	0	0.0	0.24179707218576477
APY	9236	0	0.0001	0.2285461887935386
APY	3043	0	0.0	0.22084805653710246
APY	7617	100	0.0	0.32937910146390714
APY	9412	100	0.0001	0.3406108026249369
APY	1421	100	0.0001	0.37203432609793036
APY	1974	100	0.0	0.2820545179202423
APY	4320	200	0.0001	0.41658253407370016
APY	7180	0	0.0001	0.4620141342756184
APY	6370	0	0.0	0.4538112064613831
APY	81	0	0.0001	0.4372791519434629
APY	8701	0	0.0	0.4736244321049975
APY	7736	0	0.0	0.41797072185764766
APY	4859	0	0.0001	0.31587582029278144
APY	6983	100	0.0001	0.44295810196870267
APY	6845	100	0.0	0.31070166582534076
APY	9	200	0.0001	0.4437152953054013
APY	7398	200	0.0	0.391090358404846
APY	5686	300	0.0001	0.5050479555779909
APY	1457	300	0.0	0.4469964664310954
