AWA2	200	0.0	0.7341084291671932
AWA2	200	0.0001	0.722987488942247
AWA2	300	0.0	0.7260204726399596
AWA2	300	0.0001	0.7141412864905851
AWA2	955	0	0.01	0.12131934790850499
AWA2	8577	0	0.001	0.5406293441172754
AWA2	2100	0	0.0001	0.7337293062049791
AWA2	6710	0	0.001	0.6556299759888791
AWA2	681	0	0.0001	0.72854795905472
AWA2	6402	50	0.0001	0.7128775432832049
AWA2	7470	50	0.001	0.538607354985467
AWA2	2549	100	0.001	0.543662327814988
AWA2	8030	100	0.0001	0.6996082396057122
AWA2	9058	150	0.001	0.5468216858334386
AWA2	3678	150	0.0001	0.7179325161127259
AWA2	7013	200	0.001	0.5569316314924807
AWA2	9797	200	0.0001	0.6822949576646026
AWA2	4299	0	0.0001	0.7049159610767092
AWA2	7683	0	0.0	0.713509414886895
AWA2	483	0	0.001	0.5844812334133704
AWA2	8029	50	0.001	0.4679641096929104
AWA2	2545	50	0.0001	0.7041577151522811
AWA2	3470	50	0.0	0.7017566030582586
AWA2	3192	100	0.0	0.7117401743965626
AWA2	4448	100	0.001	0.6510805004423101
AWA2	849	100	0.0001	0.7161632756223936
AWA2	8033	150	0.001	0.6788828510046758
AWA2	1050	150	0.0	0.7116138000758246
AWA2	3782	150	0.0001	0.6918994060406926
AWA2	7412	200	0.0001	0.6857070643245292
AWA2	6816	200	0.0	0.6955642613420953
AWA2	9039	200	0.001	0.6336408441804625
AWA2	743	300	0.0	0.6931631492480728
AWA2	4059	300	0.001	0.6615695690635662
AWA2	3020	0	0.0	0.7174270188297738
AWA2	2616	0	0.0	0.7169215215468216
AWA2	8454	50	0.0	0.7095918109440161
AWA2	370	50	0.0	0.7021357260204727
AWA2	9195	100	0.0	0.7075698218122077
AWA2	4698	100	0.0	0.7143940351320611
AWA2	3083	150	0.0	0.6812839630986983
AWA2	943	150	0.0	0.6725641349677746
AWA2	9718	200	0.0	0.6872235561733856
AWA2	1198	200	0.0	0.7001137368886642
AWA2	7221	300	0.0	0.6984708707190699
AWA2	6152	300	0.0	0.6865916845696954
AWA2	9195	100	0.0	0.6887400480222419
AWA2	9550	150	0.0001	0.6682674080626817
AWA2	8362	0	0.0	0.6903829141918362
AWA2	1933	0	0.0	0.3326172121824845
AWA2	6876	0	0.0	0.631113357765702
AWA2	1217	0	0.0	0.6565145962340453
AWA2	9914	0	0.0	0.596739542524959
