SUN	150	0.0	0.6090277777777777
SUN	200	0.0	0.6076388888888888
SUN	300	0.0	0.6104166666666667
SUN	8735	0	0.0001	0.475
SUN	4703	0	0.001	0.4875
SUN	260	0	0.0	0.5243055555555556
SUN	3696	50	0.0001	0.4736111111111111
SUN	6762	50	0.001	0.5097222222222222
SUN	3194	50	0.0	0.5069444444444444
SUN	8365	100	0.0001	0.4826388888888889
SUN	7156	100	0.001	0.4930555555555556
SUN	4982	100	0.0	0.48194444444444445
SUN	2226	150	0.001	0.5034722222222222
SUN	8675	150	0.0001	0.44375
SUN	8774	150	0.0	0.50625
SUN	5774	200	0.001	0.47708333333333336
SUN	3369	200	0.0001	0.5020833333333333
SUN	1875	200	0.0	0.45208333333333334
SUN	1466	300	0.001	0.45416666666666666
SUN	8069	300	0.0001	0.4951388888888889
SUN	426	0	0.0	0.6006944444444444
SUN	8208	0	0.001	0.47152777777777777
SUN	1963	0	0.0001	0.5916666666666667
SUN	5440	50	0.0001	0.6027777777777777
SUN	1776	50	0.0	0.5972222222222222
SUN	8537	50	0.001	0.47708333333333336
SUN	587	100	0.0001	0.5916666666666667
SUN	6003	100	0.001	0.45625
SUN	8034	100	0.0	0.6027777777777777
SUN	5085	150	0.0	0.6006944444444444
SUN	3363	150	0.0001	0.6076388888888888
SUN	7832	150	0.001	0.42916666666666664
SUN	7095	200	0.0	0.6020833333333333
SUN	5240	200	0.001	0.3951388888888889
SUN	1431	200	0.0001	0.6090277777777777
SUN	5096	300	0.001	0.4597222222222222
SUN	9547	300	0.0	0.5972222222222222
